,index,event_id,date_of_event,household_id,person_id,event_type_id,event_counter,event_score,date_of_previous_event,created_by,timestamp_created,is_void,sync_id
99,99,434cedb2-033b-499a-8d9f-5f8ca983df33,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1044308, , , , , , , ,a39c6e3a-ab7b-4e51-be95-d5fb8a72056d
100,100,f1a096ab-7446-42e8-9e2f-f4bec9f46ae7,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1035969, , , , , , , ,61c79eda-03f7-46ad-aee1-86296a05a371
101,101,304f98bc-725d-4aeb-a9ce-e714befa8a92,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,3369430, , , , , , , ,fbd252df-9361-4a7d-a247-5472a1c7e301
102,102,ad5db30a-a52c-495f-8b32-5a030153bd70,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1044308, , , , , , , ,0e52881f-dc71-4fe4-8d56-995a823a7fc9
103,103,ee66ffc6-245b-447d-8b86-770a99197c38,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1037245, , , , , , , ,b8e5923b-46a0-4cb1-8384-adbd34e1b973
104,104,559d7bf6-a412-427d-9ced-60b714ad9dfa,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1040500, , , , , , , ,7c9b2853-2b30-4cd9-be37-1cd095b0fad7
105,105,349876a4-0660-48f3-86e5-ae7a8f5f7a19,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1037245, , , , , , , ,8586140f-ff88-4bc8-ac3c-a53a2425c48d
106,106,151b5eda-9a8b-4857-9d0f-b430d454c7f2,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1040500, , , , , , , ,e39a72d0-b549-401a-a070-317b06a1442d
107,107,0a367c6e-107f-47e5-b863-53dae2997fd2,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1041920, , , , , , , ,4c54c217-98c2-490f-929c-57b72239418f
108,108,798217a6-92a0-402c-9616-d43af2b4f22a,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1037245, , , , , , , ,82fe491d-fcd6-4c52-97b7-d8964cc6b75c
109,109,3c72f6c9-48a3-4d5b-89d2-f9e5c51d2122,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1040500, , , , , , , ,6477aef2-9f40-46f5-ad1f-e2f0d3eb308d
110,110,27bc3992-40da-4f10-a7a0-49d7567fb4bb,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1041920, , , , , , , ,31be49a7-fc37-464f-94f7-55782844819f
111,111,ec88e435-239d-42da-8224-9ffd9bc1016f,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1041920, , , , , , , ,439623f1-1cb4-4b1a-bfb3-9e7e58f9b0e3
112,112,9892ed89-17a6-4230-b36a-9d0580c283a0,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1041920, , , , , , , ,d476a476-2950-4685-b0ca-388af7abd73d
113,113,605f51cd-c30f-4c54-b69e-e9feb94da72c,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1037245, , , , , , , ,7bc7de90-f0ae-4045-9396-f589a1fc8290
114,114,f46ae219-aa8b-485b-829b-1b1f4719c565,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1040500, , , , , , , ,f81ec627-2cf3-462f-9135-17929e52f9aa
115,115,fcb2646d-1b10-4dc5-920a-ddf53f62f4f0,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1037245, , , , , , , ,57952171-d1fb-4b97-a316-c0b173dfeaca
116,116,849bf619-8d89-4174-b2e1-c5847fe9bb42,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1040500, , , , , , , ,d5c5f02a-8e18-4005-8b3f-8da7c997b16f
117,117,ea0d3083-5fec-4a68-be73-b6c0da20ee0f,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1041920, , , , , , , ,23c0581b-9772-4eab-8189-912618abb6ff
118,118,3f4a51b5-36ca-4e2c-9f70-a59b93581b9b,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1037245, , , , , , , ,81bdec2c-ad8c-430f-afe1-fcc510dcbffa
119,119,db159e71-66a8-4317-a82d-0f0114301aff,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1040500, , , , , , , ,f656e16d-c0f4-432b-9285-9d6bfde57cc4
120,120,ea160507-4fe1-4312-82c6-5b8a8fb9fec1,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1041920, , , , , , , ,7354fd58-1053-495b-af7c-89e5c1bfcc66
121,121,f9eb3f1a-aadb-43bf-807d-4f01316d37fe,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1037245, , , , , , , ,ef503193-dc47-45ea-95fe-9463c98d5724
122,122,843fe282-abbd-43c4-b408-8658997f9b1a,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1040500, , , , , , , ,e9c8ae30-a4ab-4b85-93e8-56ba1005f688
123,123,89aef24e-2ed3-4250-8477-8ee80c09a412,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1041920, , , , , , , ,543d2a9d-0fdd-41aa-b92b-924611c079ae
124,124,aa3a9b9b-5b05-4f51-9d4e-302b825aa314,2022-12-18,848647ba-7db1-46e2-a401-6d5cedfb0426,1041920, , , , , , , ,c52d72b4-0159-4a73-a493-ccf58e92d2c1
125,125,5240e475-8a87-4bf2-a657-8e49938a1f1a,2022-08-30,35e24313-fa28-4460-9f0a-c3494b28c1f9,1040183, , , , , , , ,4fa45a9e-7129-4387-89c6-0c7fa6da847c
126,126,bfb8083b-8b96-4848-b605-14bc4f485034,2022-08-30,35e24313-fa28-4460-9f0a-c3494b28c1f9,1040183, , , , , , , ,f48b761e-ddf2-41a8-a8bc-0003d367b4d3
127,127,fb88665c-1c02-49cc-9e83-2de99907aa71,2022-08-30,35e24313-fa28-4460-9f0a-c3494b28c1f9,1040183, , , , , , , ,525b2885-44f9-4076-9528-72bb3f9e882c
128,128,bc7940ed-0857-4a09-839f-f387614d20bc,2022-08-30,35e24313-fa28-4460-9f0a-c3494b28c1f9,1040183, , , , , , , ,b8efa7a7-b3e0-4fc3-a4fc-3c65c4e1f87f
129,129,8564f673-be3b-4784-baa0-cb26db6b5cb5,2022-08-30,35e24313-fa28-4460-9f0a-c3494b28c1f9,1040183, , , , , , , ,c0500fbc-8acf-45b6-9f80-d3be3eedaae0
130,130,8ae3e856-347e-42f2-ae1d-479648025f88,2022-08-30,35e24313-fa28-4460-9f0a-c3494b28c1f9,1040183, , , , , , , ,b95fbadd-a039-47ac-9e56-daddd31933d7
